¹ßÇ¥³¯Â¥,¹ßÇ¥,ÀÌÀü´ëºñ
2024.11.13.,315.66,0.36»ó½Â
2024.10.10.,315.3,0.51»ó½Â
2024.09.11.,314.8,0.26»ó½Â
2024.08.14.,314.54,0.36»ó½Â
2024.07.11.,314.18,0.11»ó½Â
2024.06.12.,314.07,0.52»ó½Â
2024.05.15.,313.55,1.22»ó½Â
2024.04.10.,312.33,2.01»ó½Â
2024.03.12.,310.33,1.91»ó½Â
2024.02.13.,308.42,1.67»ó½Â
2024.01.11.,306.75,0.30ÇÏ¶ô
2023.12.12.,307.05,0.62ÇÏ¶ô
2023.11.14.,307.67,0.12ÇÏ¶ô
2023.10.12.,307.79,0.76»ó½Â
2023.09.13.,307.03,1.33»ó½Â
2023.08.10.,305.69,0.58»ó½Â
2023.07.12.,305.11,0.98»ó½Â
2023.06.13.,304.13,0.76»ó½Â
2023.05.10.,303.36,1.53»ó½Â
2023.04.12.,301.84,1.00»ó½Â
2023.03.14.,300.84,1.67»ó½Â
2023.02.14.,299.17,2.37»ó½Â
2023.01.12.,296.8,0.91ÇÏ¶ô
2022.12.13.,297.71,0.30ÇÏ¶ô
2022.11.10.,298.01,1.20»ó½Â
2022.10.13.,296.81,0.64»ó½Â
2022.09.13.,296.17,0.10ÇÏ¶ô
2022.08.10.,296.28,0.04ÇÏ¶ô
2022.07.13.,296.31,4.01»ó½Â
2022.06.10.,292.3,3.19»ó½Â
2022.05.11.,289.11,1.60»ó½Â
2022.04.12.,287.5,3.79»ó½Â
2022.03.10.,283.72,2.57»ó½Â
2022.02.10.,281.15,2.35»ó½Â
2022.01.12.,278.8,0.85»ó½Â
2021.12.10.,277.95,1.36»ó½Â
2021.11.10.,276.59,2.28»ó½Â
2021.10.13.,274.31,0.74»ó½Â
2021.09.14.,273.57,0.56»ó½Â
2021.08.11.,273,1.31»ó½Â
2021.07.13.,271.7,2.50»ó½Â
2021.06.10.,269.19,2.14»ó½Â
2021.05.12.,267.05,2.18»ó½Â
2021.04.13.,264.88,1.86»ó½Â
2021.03.10.,263.01,1.43»ó½Â
2021.02.10.,261.58,1.11»ó½Â
2021.01.13.,260.47,0.24»ó½Â
2020.12.10.,260.23,0.16ÇÏ¶ô
2020.11.12.,260.39,0.11»ó½Â
2020.10.13.,260.28,0.36»ó½Â
