날짜,매매기준율,전일대비,현찰,현찰,송금,송금
날짜,매매기준율,전일대비,사실 때,파실 때,보내실 때,받으실 때
2024.11.19,1392.1,1.4,1416.46,1367.74,1405.7,1378.5
2024.11.18,1393.5,2.5,1417.88,1369.12,1407.1,1379.9
2024.11.15,1396.0,10.0,1420.43,1371.57,1409.6,1382.4
2024.11.14,1406.0,1.0,1430.6,1381.4,1419.7,1392.3
2024.11.13,1407.0,1.5,1431.62,1382.38,1420.7,1393.3
2024.11.12,1408.5,7.2,1433.14,1383.86,1422.3,1394.7
2024.11.11,1401.3,1.8,1425.82,1376.78,1415.0,1387.6
2024.11.08,1399.5,14.5,1423.99,1375.01,1413.2,1385.8
2024.11.07,1385.0,16.0,1409.23,1360.77,1398.5,1371.5
2024.11.06,1401.0,21.2,1425.51,1376.49,1414.7,1387.3
2024.11.05,1379.8,3.8,1403.94,1355.66,1393.3,1366.3
2024.11.04,1376.0,4.5,1400.08,1351.92,1389.4,1362.6
2024.11.01,1380.5,4.5,1404.65,1356.35,1394.0,1367.0
2024.10.31,1376.0,4.0,1400.08,1351.92,1389.4,1362.6
2024.10.30,1380.0,5.0,1404.15,1355.85,1393.5,1366.5
2024.10.29,1385.0,1.0,1409.23,1360.77,1398.5,1371.5
2024.10.28,1384.0,6.5,1408.22,1359.78,1397.5,1370.5
2024.10.25,1390.5,9.5,1414.83,1366.17,1404.1,1376.9
2024.10.24,1381.0,1.0,1405.16,1356.84,1394.5,1367.5
2024.10.23,1382.0,2.0,1406.18,1357.82,1395.5,1368.5
2024.10.22,1380.0,0.4,1404.15,1355.85,1393.5,1366.5
2024.10.21,1380.4,10.9,1404.55,1356.25,1393.9,1366.9
2024.10.18,1369.5,3.0,1393.46,1345.54,1382.9,1356.1
2024.10.17,1372.5,7.5,1396.51,1348.49,1385.9,1359.1
2024.10.16,1365.0,0.0,1388.88,1341.12,1378.3,1351.7
2024.10.15,1365.0,6.0,1388.88,1341.12,1378.3,1351.7
2024.10.14,1359.0,7.5,1382.78,1335.22,1372.3,1345.7
2024.10.11,1351.5,0.0,1375.15,1327.85,1364.7,1338.3
2024.10.10,1351.5,7.5,1375.15,1327.85,1364.7,1338.3
2024.10.08,1344.0,2.0,1367.52,1320.48,1357.1,1330.9
2024.10.07,1346.0,2.7,1369.55,1322.45,1359.1,1332.9
2024.10.04,1348.7,24.2,1372.3,1325.1,1361.9,1335.5
2024.10.02,1324.5,4.5,1347.67,1301.33,1337.4,1311.6
2024.09.30,1320.0,8.0,1343.1,1296.9,1332.9,1307.1
2024.09.27,1312.0,6.0,1334.96,1289.04,1324.8,1299.2
2024.09.26,1318.0,20.5,1341.06,1294.94,1330.9,1305.1
2024.09.25,1338.5,10.5,1361.92,1315.08,1351.6,1325.4
2024.09.24,1328.0,7.5,1351.24,1304.76,1341.0,1315.0
2024.09.23,1335.5,0.5,1358.87,1312.13,1348.5,1322.5
2024.09.20,1336.0,6.0,1359.38,1312.62,1349.0,1323.0
2024.09.19,1330.0,2.0,1353.27,1306.73,1343.0,1317.0
2024.09.13,1332.0,7.0,1355.31,1308.69,1345.0,1319.0
2024.09.12,1339.0,1.5,1362.43,1315.57,1352.1,1325.9
2024.09.11,1340.5,4.0,1363.95,1317.05,1353.6,1327.4
2024.09.10,1344.5,2.5,1368.02,1320.98,1357.6,1331.4
2024.09.09,1342.0,2.5,1365.48,1318.52,1355.1,1328.9
2024.09.06,1339.5,4.5,1362.94,1316.06,1352.6,1326.4
2024.09.05,1335.0,1.5,1358.36,1311.64,1348.0,1322.0
2024.09.04,1336.5,4.5,1359.88,1313.12,1349.5,1323.5
2024.09.03,1341.0,2.0,1364.46,1317.54,1354.1,1327.9
2024.09.02,1339.0,0.0,1362.43,1315.57,1352.1,1325.9
2024.08.30,1339.0,4.0,1362.43,1315.57,1352.1,1325.9
2024.08.29,1335.0,2.5,1358.36,1311.64,1348.0,1322.0
2024.08.28,1337.5,7.5,1360.9,1314.1,1350.6,1324.4
2024.08.27,1330.0,0.5,1353.27,1306.73,1343.0,1317.0
2024.08.26,1329.5,0.5,1352.76,1306.24,1342.5,1316.5
2024.08.23,1329.0,14.0,1352.25,1305.75,1342.0,1316.0
2024.08.22,1343.0,8.0,1366.5,1319.5,1356.1,1329.9
2024.08.21,1335.0,3.5,1358.36,1311.64,1348.0,1322.0
2024.08.20,1331.5,3.5,1354.8,1308.2,1344.5,1318.5
2024.08.19,1335.0,19.5,1358.36,1311.64,1348.0,1322.0
2024.08.16,1354.5,6.5,1378.2,1330.8,1367.7,1341.3
