날짜,파실 때,보내실 때,받으실 때
2024.11.18,2614.6,44.5,+1.73%
2024.11.15,2570.1,2.8,-0.10%
2024.11.14,2572.9,13.6,-0.52%
2024.11.13,2586.5,19.8,-0.75%
2024.11.12,2606.3,11.4,-0.43%
2024.11.11,2617.7,77.1,-2.86%
2024.11.08,2694.8,11.0,-0.40%
2024.11.07,2705.8,29.5,+1.10%
2024.11.06,2676.3,73.4,-2.66%
2024.11.05,2749.7,3.5,+0.12%
2024.11.04,2746.2,3.0,-0.10%
2024.11.01,2749.2,0.1,0.00%
2024.10.31,2749.3,51.5,-1.83%
2024.10.30,2800.8,19.7,+0.70%
2024.10.29,2781.1,25.2,+0.91%
2024.10.28,2755.9,1.3,+0.04%
2024.10.25,2754.6,5.7,+0.20%
2024.10.24,2748.9,19.5,+0.71%
2024.10.23,2729.4,30.4,-1.10%
2024.10.22,2759.8,20.9,+0.76%
2024.10.21,2738.9,8.9,+0.32%
2024.10.18,2730.0,22.5,+0.83%
2024.10.17,2707.5,16.2,+0.60%
2024.10.16,2691.3,12.4,+0.46%
2024.10.15,2678.9,13.3,+0.49%
2024.10.14,2665.6,10.7,-0.39%
2024.10.11,2676.3,37.0,+1.40%
2024.10.10,2639.3,13.3,+0.50%
2024.10.09,2626.0,9.4,-0.35%
2024.10.08,2635.4,30.6,-1.14%
2024.10.07,2666.0,1.8,-0.06%
2024.10.04,2667.8,11.4,-0.42%
2024.10.03,2679.2,9.5,+0.35%
2024.10.02,2669.7,20.6,-0.76%
2024.10.01,2690.3,30.9,+1.16%
2024.09.30,2659.4,8.7,-0.32%
2024.09.27,2668.1,26.8,-0.99%
2024.09.26,2694.9,10.2,+0.37%
2024.09.25,2684.7,7.7,+0.28%
2024.09.24,2677.0,24.5,+0.92%
2024.09.23,2652.5,6.3,+0.23%
2024.09.20,2646.2,31.6,+1.20%
2024.09.19,2614.6,16.0,+0.61%
2024.09.18,2598.6,6.2,+0.23%
2024.09.17,2592.4,16.5,-0.63%
2024.09.16,2608.9,1.8,-0.06%
2024.09.13,2610.7,30.1,+1.16%
2024.09.12,2580.6,38.2,+1.50%
2024.09.11,2542.4,0.7,-0.02%
2024.09.10,2543.1,10.4,+0.41%
2024.09.09,2532.7,8.1,+0.32%
2024.09.06,2524.6,18.5,-0.72%
2024.09.05,2543.1,17.1,+0.67%
2024.09.04,2526.0,3.0,+0.11%
2024.09.03,2523.0,4.6,-0.18%
2024.08.30,2527.6,32.7,-1.27%
2024.08.29,2560.3,22.5,+0.88%
2024.08.28,2537.8,15.1,-0.59%
2024.08.27,2552.9,2.3,-0.09%
2024.08.26,2555.2,8.9,+0.34%
2024.08.23,2546.3,29.6,+1.17%
2024.08.22,2516.7,30.8,-1.20%
2024.08.21,2547.5,3.1,-0.12%
2024.08.20,2550.6,9.3,+0.36%
2024.08.19,2541.3,3.5,+0.13%
2024.08.16,2537.8,45.4,+1.82%
2024.08.15,2492.4,12.7,+0.51%
2024.08.14,2479.7,28.1,-1.12%
2024.08.13,2507.8,3.8,+0.15%
2024.08.12,2504.0,30.6,+1.23%
