result
"0| SK하이닉스 이천사업장 M16 전경. 뉴스1 제공 [파이낸셜뉴스] 뉴욕증시는 사상 최고치를 또 다시 갈아치웠지만, 코스피는 2700선에 오르지 못했다. 외국인 투자자들은 순매수세로 돌아왔지만 지수 상승에 큰 보탬이 되지 못했다는 평가다. 13일 한국거래소에 따르면 코스피지수는 전장 대비 0.44% 상승한 2693.57에 마감했다. 이는 52주 최고치이다. 장 초반에는 2700선을 터치했지만 이내 하락하며 2600선에서 거래를 마쳤다. 지난 달 7일 이후 한 달 넘게 2600대에서 횡보하고 있는 셈이다. 지난 밤 뉴욕증시가 크게 오르면서 2700선 돌파에 대한 기대감은 어느 때보다 컸다. 미국 스탠더드앤드푸어스(S&P)500 지수는 전장보다 1.12% 오른 5175.27에 거래를 마치며, 지난 7일(5157.36)의 고점 기록을 3거래일 만에 갈아치웠다. 특히, 인공지능(AI) 분야 대장주인 엔비디아가 이날 7.16% 오르면서 이날 지수 상승을 주도했다. 그러나 이날 국내 반도체주 사이에는 희비가 엇갈렸다. 삼성전자는 전일 대비 1.09% 상승한 7만4100원에 거래를 마쳤고, 한미반도체도 2.04% 상승하며 10만원선을 회복했다. 이에 반해 엔비디아에 고대역폭메모리(HBM) HBM3E를 독점 납품하는 SK하이닉스의 경우 1.27% 하락한 16만3600원에 마감했다. 개장 직후 전날보다 높은 가격에 거래됐지만 가격이 계속 떨어지며 하락 반전한 것이다. SK하이닉스는 코스피에서 엔비디아의 수혜를 가장 많이 받은 종목이다. 이 때문에 엔비디아 주가에도 영향을 많이 받는다. 엔비디아가 최근 주가 약세를 보일 때 하이닉스의 주가도 힘을 쓰지 못했다. 그런데 이번에는 엔비디아가 올랐음에도 SK하이닉스의 주가가 떨어진 것이다. 가격 하락의 범인은 외국인 투자자였다. 외국인 투자자는 이날 국내 증시에서 1995억원, 특히 코스피에서는 3210억원을 순매수했다. 2거래일 만에 다시 순매수세로 돌아온 것이다. 그러나 SK하이닉스는 358억원어치를 순매도했다. 3거래일 연속 순매도로, 3거래일 동안 외국인은 SK하이닉스의 주식을 2543억원어치를 팔아치웠다. 외국인의 반도체주 팔자세는 이날 급등한 종목에서도 나왔다. 실제로 최근 급등세를 보인 통신 반도체주 자람테크놀로지에 대해서도 외국인은 이날 매도세로 돌아섰다. 한미반도체의 주가는 2거래일 연속 상승했지만, 외국인의 수급은 2거래일 연속 '순매도'였다. 이 때문에 증권가 일각에서는 외국인이 국내 반도체주에 대해 가격 부담을 느끼는 것 같다는 지적이 나오기 시작했다. 하이투자증권은 '국내 증시에서 스타일 변화가 감지되고 있다. 반도체주 내에서도 AI 수혜가 강했던 SK하이닉스는 하락한 반면 삼성전자는 상승하면서 차별화된 움직임 나타난 점이 특징적'이라며 '전반적으로 연초부터 이어오던 상승 랠리에 따른 가격부담 속 차익실현 움직임 나타난 것으로 보인다'라고 분석했다.fair@fnnews.com 한영준 기자 "
"1| 삼성전자가 업계 최초로 36GB 용량의 5세대 고대역폭 메모리 'HBM3E' 12H를 개발했다. 올해 상반기 중 양산에 돌입한다. (삼성전자 제공) ⓒ News1 강태우 기자(서울=뉴스1) 강태우 기자 = 삼성전자(005930)가 올해 연말까지 엔비디아, AMD에 HBM(고대역폭메모리) 공급을 확대하며 선두 주자인 SK하이닉스(000660)와의 점유율 격차를 줄일 것이라는 전망이 나왔다.13일 시장조사기관 트렌드포스에 따르면 현재 HBM 시장은 4세대 제품인 'HBM3'에 집중된 가운데 인공지능(AI) 시장 수요 대비 공급 부족 현상이 나타나고 있다.AI용 반도체 시장의 90%를 차지하고 있는 엔비디아는 'H100' 솔루션에 탑재되는 HBM3 제품을 주로 SK하이닉스로부터 공급받고 있다. 곧 출시될 B100·H200 모델에는 5세대 제품인 'HBM3E'가 탑재될 예정이다.트렌드포스는 'HBM의 긴 생산 주기로 인해 공급 병목 현상이 나타나고 있다'며 'HBM3E는 올해 2분기 엔비디아 H200에 탑재될 계획이며 시장의 관심은 HBM3에서 HBM3E로 옮겨갈 것'이라고 설명했다.올 하반기부터 HBM3E의 생산량은 점진적으로 증가할 것으로 관측된다. 특히 SK하이닉스가 가장 빨리 엔비디아로부터 HBM3E 검증을 받아 선두를 달리고 있고, 미국 마이크론이 1분기 말부터 제품 공급을 시작할 예정이다. 삼성전자는 다소 샘플 공급이 늦은 상태다.하지만 트렌드포스는 이미 삼성전자가 HBM3 제품으로 엔비디아 공급망에 진입했다고 진단하며 HBM3E 시장에서도 영향력을 빠르게 발휘할 것으로 전망했다.트렌드포스는 '삼성전자는 1분기 말까지 HBM3E 검증을 마치고 2분기에 출하할 것으로 보인다'며 '이미 HBM3에서 상당한 진전을 이뤘고 HBM3E 검증도 곧 완료하면서 연말까지 SK하이닉스와의 시장 점유율 격차를 크게 좁힐 것'이라고 내다봤다.지난해 HBM 시장에서 SK하이닉스의 점유율은 53%로 1위를 차지했으며 삼성전자가 38%로 시장을 양분하고 있다. 마이크론 점유율은 9%다.삼성전자는 또 다른 업체인 AMD에도 공급을 늘리며 점유율 확대를 가속할 전망이다. 삼성전자는 올해 1분기 AMD의 MI300 시리즈에 채용될 HBM3 제품 인증을 획득했다.트렌드포스는 '삼성전자는 앞으로 몇 분기 동안 AMD의 MI300 시리즈 공급이 확대되면서 시장 점유율이 빠르게 상승할 것으로 예상된다'며 '이를 통해 HBM 시장 경쟁 구도가 재편될 것'이라고 덧붙였다.삼성전자, SK하이닉스, 마이크론의 5세대 고대역폭메모리 'HBM3E' 제품 공급 로드맵. (트렌드포스 제공)burning@news1.kr  "
"2| 그래픽=김은옥 기자코스피가 1년10개월 만에 장중 2700선을 넘었다. 지난 밤 미국 뉴욕 증시에서 3대 주가지수가 일제히 상승 마감한 가운데 국내 증시도 은행·증권·보험주를 중심으로 투자심리가 개선됐다. 13일 코스피지수는 전 거래일 대비 11.76포인트(0.44%) 오른 2693.57에 장을 마쳤다. 코스피는 장중 한때 2701.45까지 치솟으며 2022년 5월3일(2702.10) 이후 처음으로 2700선을 돌파했다. 코스피 시장에서 외국인은 나홀로 3353억원어치를 사들였다. 개인과 기관은 각각 2530억원과 1107억원의 매도 우위를 보였다.시가총액 상위종목 가운데 삼성전자(1.09%) 현대차(2.90%) 등은 상승했다. 반면 SK하이닉스(-1.27%) LG에너지솔루션(-0.24%) 삼성바이오로직스(-1.43%) 등은 하락했다.이날 업종별로는 금융주의 상승률이 두드러졌다. 증권(3.66%) 금융(2.02%) 보험(1.43%) 등 주가순자산비율(PBR)이 낮은 금융주가 강세를 보였다. 이달 정기 주주총회 시즌을 맞아 기업 밸류업 프로그램에 발맞춘 주주 환원 정책이 쏟아질 수 있다는 기대감이 높아지며 투자수요가 몰린 것으로 풀이된다. 증권가에서는 금융감독원이 지난 11일 발표한 홍콩항셍중국기업지수(HSCEI·홍콩H지수) 기초자산 주가연계증권(ELS) 손실 배상 기준도 금융주의 주주환원 정책으로 그 영향이 미미할 것으로 판단했다. 김수연 한화투자증권 연구원은 '이번 주총 시즌을 통해 정부 정책 때문에 일회성으로 주주 환원을 결정하는 기업과 아닌 상장사를 선별해야 한다'며 '꾸준히 배당을 늘리는 회사를 중심으로 투자해야 한다'고 조언했다. 강진혁 신한투자증권 연구원은 'KB금융, 신한지주는 52주 신고가를 경신했고, 특히 KB금융은 연초 대비 40% 이상 상승 중'이라며 'ELS 배상 규모가 예상 범위를 크게 벗어나지 않았고 오랜 기간 우려가 선반영된 만큼 악재를 털어내고 밸류업에 속도를 내는 모습을 보였다'고 설명했다. 코스닥지수는 전일 대비 0.22포인트(0.02%) 오른 889.93에 거래를 마쳤다. 외국인과 기관이 각각 1014억원, 694억원을 순매도했지만, 개인이 2251억원을 순매수하며 지수 상승을 견인했다. 시가총액 상위종목에선 에코프로비엠(0.95%) 알테오젠(3.88%) 레인보우로보틱스(0.18%) 등이 상승했고 에코프로(-0.49%) HLB(-3.10%) HPSP(-2.70%) 등이 하락했다.이지운 기자 lee1019@mt.co.kr "
"3|  [삼성전자, 36GB HBM3E 12H D램 (삼성전자 제공=연합뉴스)]  대만 시장조사업체 트렌드포스는 오늘(13일) 삼성전자가 4세대 고대역폭 메모리(HBM)인 HBM3 시장 점유율을 빠르게 늘릴 것이라고 내다봤습니다.트렌드포스는 '처음에는 HBM3를 SK하이닉스가 독점 공급했지만 삼성전자가 AMD의 MI300 시리즈용 검증을 받은 후 빠르게 따라잡고 있다'며 '삼성전자는 올해 1분기에 검증을 받고서 AMD에 중요한 공급사로 입지를 강화하고 있다'고 전했습니다.이어 '이는 1분기부터 삼성전자의 HBM3 유통이 증가할 기반을 마련한 것'이라며 '이후 AMD MI300 시리즈의 유통이 확대되면서 삼성전자는 시장 점유율을 빠르게 확보할 것'이라고 덧붙였습니다.MI300은 최근 공격적으로 인공지능(AI) 칩 시장을 공략하는 AMD가 이 시장을 장악한 엔비디아를 겨냥해 출시한 그래픽처리장치(GPU)입니다.트렌드포스는 또 올해부터는 HBM 시장의 관심이 HBM3에서 5세대인 HBM3E로 옮겨가면서 HBM3E가 시장의 주류로 자리 잡을 것으로 전망했습니다.트렌드포스는 'HBM3E 샘플 공급이 다소 늦은 삼성전자는 1분기 말까지 HBM3E 검증을 마치고 2분기에 출하를 시작할 것으로 예상한다'며 '연말까지 SK하이닉스와의 시장 점유율 격차를 크게 줄여 HBM 시장 경쟁 구도를 재편할 것'이라고 내다봤습니다. 당신의 제보가 뉴스로 만들어집니다.SBS Biz는 여러분의 제보를 기다리고 있습니다.홈페이지 = https://url.kr/9pghjn 짧고 유익한 Biz 숏폼 바로가기SBS Biz에 제보하기 저작권자 SBS미디어넷 & SBSi 무단전재-재배포 금지  "
"4| ▲ 삼성전자, 36GB HBM3E 12H D램  삼성전자가 4세대 고대역폭 메모리(HBM)인 HBM3 시장 점유율을 빠르게 늘릴 것이란 전망이 나왔습니다.타이완 시장조사업체 트렌드포스는 'HBM3를 SK하이닉스가 독점 공급했지만, 삼성전자가 AMD의 MI300 시리즈용 검증을 받은 후 빠르게 따라잡고 있다'며 '삼성전자는 올해 1분기에 검증을 받고 AMD에 중요한 공급사로 입지를 강화하고 있다'고 밝혔습니다.이어 '1분기부터 삼성전자의 HBM3 유통이 증가할 기반을 마련한 것'이라며 'AMD MI300 시리즈의 유통이 확대되면서 삼성전자는 시장 점유율을 빠르게 확보할 것'이라고 예상했습니다.MI300은 인공지능(AI) 칩 시장을 장악한 엔비디아를 겨냥해 AMD가 출시한 그래픽처리장치(GPU)입니다.트렌드포스는 또 올해부터 HBM 시장의 관심이 HBM3에서 5세대인 HBM3E로 옮겨가면서 HBM3E가 시장의 주류로 자리 잡을 것으로 전망했습니다.트렌드포스는 'HBM3E 샘플 공급이 다소 늦은 삼성전자는 1분기 말까지 HBM3E 검증을 마치고 2분기에 출하를 시작할 것으로 예상한다'며 '연말까지 SK하이닉스와의 시장 점유율 격차를 크게 줄여 HBM 시장 경쟁 구도를 재편할 것'이라고 내다봤습니다.(사진=삼성전자 제공, 연합뉴스)김지성 기자 jisung@sbs.co.kr "
"5| Your browser does not support iframes.[앵커] TV에선 LG와 경쟁하는 삼성인데 반도체 산업에선 인텔, TSMC와도 경쟁합니다. 특히, 글로벌 반도체 시장이 보조금을 중심으로 재편되는 상황에서 미국 보조금 확보 경쟁도 뜨거운데요. TSMC와 인텔이 보조금을 받는 만큼 우리 기업도 얼마나 받을 수 있을 지에 관심이 쏠리고 있습니다. 신성우 기자의 보도입니다. [기자] 우리 기업에 대한 미국 상무부의 반도체 보조금 발표가 코앞으로 다가왔습니다. 정인교 산업부 통상교섭본부장은 이달 말로 예상이 된다면서, '미국의 가이드라인에 따라 나오는 것이기 때문에 현재로는 불이익 여부를 예단하기 어렵다'라고 밝혔습니다. 지난달 미국 정부는 미국 파운드리 업체, 글로벌 파운드리에게 15억 달러 규모의 보조금을 지급하기로 했습니다. 약 400억 달러를 투입해 공장을 짓는 TSMC는 50억 달러의 보조금을 받는다는 소식이 들리고 있습니다. 산업부는 보조금 액수에 국가별로 차등을 두진 않는 것으로 파악하고 있다고 설명했습니다. 약 170억 달러 투입해 미국에 공장을 짓는 삼성전자는 단순 계산으로 수십억 달러 수준을 기대할 수 있습니다. 아직 부지 선정 중인 SK하이닉스도 선정을 마치면 절차에 따라 보조금을 신청할 계획입니다. 다만, 보조금 신청 규모가 계획된 예산보다 많아 기대치보다 액수가 줄어들 수 있다는 우려도 나옵니다. [경희권 / 산업연구원 부연구위원 : 기업들이 지원서를 낸 금액이 총 700억 달러인데, 예산은 280억 달러밖에 안 되거든요. (보조금이 줄어든다면) 더 좋은 장비와 인력을 투입해야 하는데, 비용 경쟁력에서 차이가 날 수 있죠.] 또한, 다가오는 미국 대선도 변수로 작용할 수 있습니다. 트럼프가 당선되면 보조금 지급을 조건으로 추가 투자를 유도할 수 있다는 우려도 제기됩니다. SBS Biz 신성우입니다. 당신의 제보가 뉴스로 만들어집니다.SBS Biz는 여러분의 제보를 기다리고 있습니다.홈페이지 = https://url.kr/9pghjn 짧고 유익한 Biz 숏폼 바로가기SBS Biz에 제보하기 저작권자 SBS미디어넷 & SBSi 무단전재-재배포 금지  "
"6|  잔뜩 움츠렸던 삼성전자 주가에 온기가 돌고 있다. 기관 투자자의 매수세가 본격적으로 유입되기 시작했고, 한동안 등을 돌렸던 외국인 투자자도 다시 순매수에 나서고 있다. 증권사들은 1·4분기 삼성전자의 실적 전망치를 높이며 대장주의 부활을 기대하는 모습이다. 13일 코스피시장에서 삼성전자 주가는 전 거래일보다 1.09% 오른 7만4100원에 장을 마치며 이틀 연속 상승세를 이어갔다. 상승 폭은 크지 않지만 상대적으로 수익률이 높던 SK하이닉스가 1.27% 하락한 가운데 상승한 것이어서 눈길을 끌었다. 삼성전자는 증시의 핵심 키워드가 되고 있는 밸류업·인공지능(AI) 열풍에 올라타지 못했다. 지난달 이후 코스피 대형주지수가 8.39% 오른 것과 달리, 삼성전자는 고작 1.51% 오르는데 그쳤다. 특히 외국인의 순매도, 기관의 소극적인 매수 속에 주가 횡보세가 지속됐다. 하지만 최근 조용한 반전이 나타나는 분위기다. 수급상으로 외국인들이 6거래일 만에 매수에 나서면서 순매도 행진에 마침표를 찍었고, 기관의 매수세는 한층 강해졌다. 기관은 최근 5거래일 사이 5003억원어치를 사들이며 이 기간 순매수 1위에 올려놨다. 지난 8일과 12일에는 각각 2442억원과 2148억원의 매수 우위를 보였는데 기관이 삼성전자 주식을 2000억원어치 이상 사들인 것은 지난해 증시 폐장일 이후 처음이다. 1·4분기 실적 전망치도 높아지는 추세다. 금융정보업체 fn가이드에 따르면 한 달 전 삼성전자의 1·4분기 영업이익 컨센서스는 4조6812억원이었지만 이달 12일에는 4조7117억원으로 소폭 증가했다. 5조원을 넘어설 것이라는 전망도 나왔다. IBK투자증권 김운호 연구원은 '삼성전자의 1·4분기 실적은 이전 전망치를 상회한 매출액 75조원, 영업이익 5조1000억원으로 예상된다'면서 '반도체(DS) 및 모바일(MX) 사업부 실적이 개선될 것으로 기대한다'고 전했다. DS부문은 낸드(NAND) 가격 상승으로 예상보다 재고자산평산소실 충당금 환입 규모가 커지고, 비메모리부문도 나아질 것으로 판단했다. MX사업부는 갤럭시S24의 매출이 전망치를 크게 웃돌 것으로 내다봤다. KB증권 김동원 연구원도 '1·4분기 메모리반도체 영업이익은 전분기 대비 2조3000억원 개선된 1조1000억원을 기록, 6개 분기 만에 흑자전환이 예상된다'면서 삼성전자의 1·4분기 영업이익이 4조9000억원에 이를 것으로 전망했다. cynical73@fnnews.com 김병덕 기자 "
"7|  삼성전자가 TSMC와 격차를 좁히지 못하고 있는 파운드리(반도체 위탁생산) 대신 가파른 성장세를 보이는 '인공지능(AI)용 고성능 D램' 생산 확대에 나선 것으로 확인됐다. 현재 반도체 투자를 집중하고 있는 평택캠퍼스의 4공장(P4) 건설공사 일정을 조정, AI용 D램 라인 완공에 집중하겠다는 것이다. 13일 업계에 따르면 오는 31일부터 삼성전자 평택캠퍼스 P4 공사를 진행 중인 협력사의 인력 재배치가 이뤄진다. 파운드리 생산라인인 페이즈(Phase)2 공사에 투입된 인력은 페이즈3 현장으로 재배치될 계획이다. P4 페이즈3은 AI반도체 핵심 부품인 고대역폭메모리(HBM)에 탑재되는 고성능 D램을 생산하는 라인으로 알려졌다. 업계 관계자는 '오는 31일까지 페이즈2 공사 현장에서 연장·특근을 하지 말라는 지침을 받았다'며 '페이지3 공사 현장에 투입된다는 공지를 받았지만, 아직 공사일정은 받지 못했다'고 말했다. 이를 두고 업계에서는 삼성전자가 반등이 요원한 파운드리 사업 대신 수요와 가격이 살아나고 있는 D램 사업에 힘을 싣는 '선택과 집중' 전략이라는 데 무게가 실리고 있다. 올해 초 설계변경을 위해 공사를 일부 중단한 5공장(P5) 역시 파운드리 생산라인으로 알려졌다. 시장조사기관 트렌드포스에 따르면 삼성전자의 지난해 4·4분기 파운드리 시장점유율은 11.3%로 전 분기보다 1.9% 감소했다. 반면 업계 1위를 기록하고 있는 대만 TSMC는 같은 기간 57.9%에서 61.2%로 점유율을 확대하며 삼성전자와 격차를 더 벌리고 있다. AI용 D램 집중은 삼성전자의 현금 흐름과도 무관치 않다. 삼성전자 2023년 사업보고서에 따르면 지난해 말 기준 삼성전자의 현금 및 현금성 자산(단기금융상품 포함)은 91조7718억원으로 2022년 말 114조7835억원 대비 23조117억원 감소했다. 삼성전자의 현금성자산이 100조원 밑으로 떨어진 건 2018년 이후 처음이다. 파운드리 사업이 고전하는 것과 달리 AI반도체 핵심 부품인 HBM 시장 전망은 밝다. 시장조사기관 옴디아에 따르면 D램 시장에서 HBM 비중은 지난해 9%였지만, 올해 18%로 두 배 이상 늘어날 것으로 관측된다. D램 시장도 훈풍이 불고 있다. 지난해 4·4분기 D램 고정거래가격은 전 분기 대비 10% 이상 올랐다. '규모의 경제'에 따라 업황 반등 시 삼성전자 D램의 약진은 SK하이닉스보다 빠를 것으로 전망된다. 삼성전자의 캐파(생산능력)는 경쟁사인 SK하이닉스의 1.5~2배에 달하는 것으로 추정된다. 업계 관계자는 '지난해 3·4분기 삼성전자 D램 시장점유율이 30%대로 떨어졌지만 한 분기 만에 45%대로 올라서며 7년 만에 최고 점유율을 달성한 건 재고소진과 더불어 생산능력의 차이 때문'이라며 'HBM 등 고부가제품의 매출 비중이 더 높아질 것으로 예측되는 만큼 삼성전자 캐파가 확대되면 D램 부문 수익성은 더 좋아질 것'이라고 전했다. hoya0222@fnnews.com 김동호 기자 "
"8| Your browser does not support iframes.[한국경제TV 정원우 기자]<앵커> 미국 정부가 이르면 이달 말, 삼성전자에 지급하는 반도체 보조금 규모를 발표합니다.미국 텍사스 파운드리공장에 170억달러, 약 22조원을 투자한 삼성전자는 수십억 달러를 보조금으로 돌려받을 것으로 예상되고 있는데 불확실성도 작지 않습니다.정원우 기자입니다.<기자> 미국을 찾은 정인교 통상교섭본부장은 칩스법 보조금과 관련해 '곧 미국 정부가 우리 기업에 대한 지원 방안을 발표할 것으로 예상되고 있다'고 말했습니다.발표 시점은 이달 말, 우리 기업의 불이익은 예단하기 어렵다고 전했습니다.SK하이닉스는 아직 미국 공장 부지 선정 단계이기 때문에, 사실상 삼성전자에 대한 보조금 지급 발표가 임박했음을 언급한 것입니다.삼성전자는 170억 달러, 우리돈 22조원을 들여 미국 텍사스주 테일러시에 파운드리 공장을 짓고 있습니다. 건물 공사는 끝났고, 연말 가동을 목표로 장비 반입 등이 이뤄지고 있는 것으로 알려집니다.반도체 보조금은 미국 상무부와 개별 기업간 협의에 따라 결정되며 삼성전자 역시 협상을 진행 중입니다.애초 투자금의 15% 수준은 돌려받을 것이라는게 업계의 관측이었으나 최근 미국 정부의 태도는 불확실성을 키우고 있습니다.미국 상무부는 반도체 생산 보조금 총 390억달러 가운데 첨단반도체 생산기업 지원에 280억달러를 배정했습니다.하지만 지나 러몬도 상무부 장관은 반도체 기업들이 신청한 보조금 규모가 700억달러에 달해 실제 보조금은 기대치의 절반 정도에 그칠 것이라고 말을 바꿨습니다.여기다 미국 기업인 인텔이 100억달러, 대만의 TSMC는 50억달러를 받을 것이라는 현지 보도가 이어지면서 삼성전자가 받을 수 있는 규모가 줄어들 것이라는 우려가 커졌습니다.일각에서는 미국 정부가 적당한 수준에서 보조금을 지급하고 후속 칩스법을 미끼로 또다시 기업들을 압박할 수 있다는 관측도 나오고 있습니다.한국경제TV 정원우입니다.[영상편집 : 김민영, CG : 서조슈아]정원우 기자 bkjung@wowtv.co.kr "
9|
