페이지,날짜,제목,조회,공감,비공감,링크,ID
1,2024.03.13 22:05,오늘 공매도 토론회 내용중,19,1,0,https://finance.naver.com/item/board_read.naver?code=247540&nid=274636155&st=&sw=&page=1,0
1,2024.03.13 21:55,금감원장이 ,39,3,0,https://finance.naver.com/item/board_read.naver?code=247540&nid=274635780&st=&sw=&page=1,1
1,2024.03.13 21:52,에코프로비엠 지금 사야 할까요?,51,0,0,https://finance.naver.com/item/board_read.naver?code=247540&nid=274635680&st=&sw=&page=1,2
1,2024.03.13 21:50,기술적 분석 :쉽게 죽는 차트가 아님,116,9,0,https://finance.naver.com/item/board_read.naver?code=247540&nid=274635609&st=&sw=&page=1,3
1,2024.03.13 21:49,당신의 장기투자 방법은 틀렸다,33,0,0,https://finance.naver.com/item/board_read.naver?code=247540&nid=274635587&st=&sw=&page=1,4
1,2024.03.13 21:37,s증권사 올빽전무와 쌍수빠다남은,79,13,1,https://finance.naver.com/item/board_read.naver?code=247540&nid=274635166&st=&sw=&page=1,5
1,2024.03.13 21:33,내일 3/14 옵션만기일,167,21,2,https://finance.naver.com/item/board_read.naver?code=247540&nid=274635053&st=&sw=&page=1,6
1,2024.03.13 21:28,에코프로비엠 적정 주가,256,14,3,https://finance.naver.com/item/board_read.naver?code=247540&nid=274634890&st=&sw=&page=1,7
1,2024.03.13 21:28,이복현 검사출신 금감원장,175,18,2,https://finance.naver.com/item/board_read.naver?code=247540&nid=274634860&st=&sw=&page=1,8
1,2024.03.13 21:20,이복현 금감원장님이 똑똑한게,477,48,3,https://finance.naver.com/item/board_read.naver?code=247540&nid=274634580&st=&sw=&page=1,9
1,2024.03.13 21:19,우리 도람프 형님은 공장만 지어주면 만사 OK,85,1,5,https://finance.naver.com/item/board_read.naver?code=247540&nid=274634576&st=&sw=&page=1,10
1,2024.03.13 21:18,에코비엠의  영업이익 분석 ㅡ 안습 ㅜㅜ,211,0,14,https://finance.naver.com/item/board_read.naver?code=247540&nid=274634532&st=&sw=&page=1,11
1,2024.03.13 21:16,어떻게 이런일이.. 이게 사실이면..ㅠ,230,0,8,https://finance.naver.com/item/board_read.naver?code=247540&nid=274634452&st=&sw=&page=1,12
1,2024.03.13 21:15,이제 보니 워렌버핏이 포항제철 수십년간 투자 하다가 마이너스 나서 주식 뺀 이유를 알겠다,138,11,0,https://finance.naver.com/item/board_read.naver?code=247540&nid=274634404&st=&sw=&page=1,13
1,2024.03.13 21:35,이제 보니 워렌버핏이 포항제철 수십년간 투자 하다가 마이너스 나서 주식 뺀 이유를 알겠다,18,1,0,https://finance.naver.com/item/board_read.naver?code=247540&nid=274635088&st=&sw=&page=1,14
1,2024.03.13 21:13,11월 트럼프 당선 시나리오,86,0,4,https://finance.naver.com/item/board_read.naver?code=247540&nid=274634343&st=&sw=&page=1,15
1,2024.03.13 21:13,광물가격 오름세 확인하세요,55,2,0,https://finance.naver.com/item/board_read.naver?code=247540&nid=274634341&st=&sw=&page=1,16
1,2024.03.13 21:01,공매 전산화 적극 반대,332,3,33,https://finance.naver.com/item/board_read.naver?code=247540&nid=274633897&st=&sw=&page=1,17
1,2024.03.13 21:00,배터리 공급이 총수요의 3배 ㅋㅋ,200,4,11,https://finance.naver.com/item/board_read.naver?code=247540&nid=274633849&st=&sw=&page=1,18
1,2024.03.13 20:59,테식이 떡락,99,1,5,https://finance.naver.com/item/board_read.naver?code=247540&nid=274633825&st=&sw=&page=1,19
